RollingAvgWindow,PositiveDiffMAThreshold,NegativeDiffMAThreshold,FixedOrderQuantity,PnL
1,32.20000,-30.00000,100,1748869.59249
1,32.80000,-30.40000,100,1748808.47634
1,34.40000,-30.60000,100,1748673.77346
1,33.40000,-30.40000,100,1748608.69155
1,34.00000,-30.80000,100,1748505.70158
1,34.40000,-30.00000,100,1748381.96760
1,32.40000,-30.00000,100,1748216.96811
1,30.80000,-30.00000,100,1747960.95776
1,33.60000,-30.20000,100,1747852.57681
1,34.00000,-30.60000,100,1747806.04876
1,33.80000,-30.80000,100,1747726.02992
1,29.40000,-30.40000,100,1747684.84412
1,32.00000,-30.80000,100,1747572.77483
1,34.00000,-30.00000,100,1747514.24290
1,34.80000,-30.20000,100,1747469.08513
1,31.00000,-30.00000,100,1747429.74288
1,29.40000,-30.20000,100,1747428.45360
1,31.80000,-30.80000,100,1747373.88381
1,34.20000,-30.80000,100,1747336.15810
1,32.00000,-29.80000,100,1747230.46766
1,31.80000,-29.80000,100,1747140.48715
1,32.60000,-30.00000,100,1747077.73032
1,33.20000,-30.20000,100,1747043.72464
1,33.80000,-30.60000,100,1747026.37710
1,32.20000,-30.80000,100,1747013.37939
1,33.20000,-30.40000,100,1746869.99574
1,33.00000,-30.20000,100,1746866.57103
1,31.20000,-30.00000,100,1746832.69632
1,32.00000,-29.60000,100,1746819.09532
1,33.80000,-30.00000,100,1746734.57124
1,31.80000,-29.60000,100,1746729.11481
1,33.00000,-30.40000,100,1746692.84213
1,32.20000,-29.80000,100,1746671.07222
1,34.20000,-30.60000,100,1746636.50528
1,34.60000,-30.80000,100,1746607.34382
1,34.40000,-31.20000,100,1746570.67270
1,32.40000,-30.80000,100,1746496.28041
1,32.00000,-30.60000,100,1746470.43539
1,30.80000,-30.80000,100,1746425.95356
1,34.20000,-30.00000,100,1746344.69942
1,30.60000,-30.00000,100,1746343.52383
1,31.80000,-30.60000,100,1746271.54436
1,32.20000,-29.60000,100,1746259.69988
1,34.40000,-29.80000,100,1746183.44734
1,30.20000,-30.00000,100,1746021.29382
1,32.40000,-29.80000,100,1746018.44784
1,31.60000,-30.00000,100,1745960.47176
1,34.40000,-31.00000,100,1745915.66279
1,32.20000,-30.60000,100,1745911.03995
1,34.60000,-30.60000,100,1745907.69100
1,29.20000,-30.40000,100,1745906.16691
1,31.00000,-30.80000,100,1745894.73868
1,29.00000,-30.40000,100,1745882.84537
1,30.80000,-29.80000,100,1745762.43749
1,31.40000,-30.00000,100,1745693.71916
1,33.40000,-30.20000,100,1745667.58745
1,34.40000,-29.60000,100,1745657.32798
1,29.20000,-30.20000,100,1745649.77639
1,29.00000,-30.20000,100,1745626.45485
1,34.60000,-30.00000,100,1745615.88515
1,32.40000,-29.60000,100,1745607.07549
1,30.40000,-30.00000,100,1745579.56966
1,34.00000,-31.20000,100,1745562.42743
1,32.40000,-30.60000,100,1745393.94096
1,32.60000,-30.80000,100,1745357.04262
1,30.80000,-30.60000,100,1745323.61412
1,34.00000,-29.80000,100,1745315.72263
1,31.20000,-30.80000,100,1745297.69213
1,31.00000,-29.80000,100,1745231.22261
1,35.00000,-30.40000,100,1745062.49991
1,29.80000,-26.40000,100,1744970.31736
1,34.00000,-31.00000,100,1744907.41752
1,29.60000,-26.40000,100,1744899.02762
1,32.60000,-29.80000,100,1744879.21005
1,32.00000,-29.40000,100,1744849.85420
1,31.00000,-30.60000,100,1744792.39924
1,34.00000,-29.60000,100,1744789.60328
1,33.80000,-31.20000,100,1744782.75577
1,31.80000,-29.40000,100,1744759.87369
1,31.20000,-29.80000,100,1744634.17605
1,32.00000,-31.20000,100,1744629.50069
1,34.40000,-26.60000,100,1744585.98520
1,30.00000,-30.00000,100,1744538.28540
1,33.80000,-29.80000,100,1744536.05098
1,34.20000,-31.20000,100,1744533.40452
1,32.60000,-29.60000,100,1744467.83771
1,31.80000,-31.20000,100,1744430.60966
1,32.20000,-29.40000,100,1744290.45876
1,32.60000,-30.60000,100,1744254.70317
1,31.20000,-29.60000,100,1744222.80370
1,31.20000,-30.60000,100,1744195.35268
1,34.20000,-29.80000,100,1744146.17916
1,30.60000,-29.80000,100,1744145.00357
1,32.00000,-26.60000,100,1744129.91080
1,33.80000,-31.00000,100,1744127.74586
1,32.20000,-31.20000,100,1744070.10525
1,31.80000,-26.60000,100,1744039.93029
1,35.00000,-30.20000,100,1744026.40482
1,33.80000,-29.60000,100,1744009.93162
1,31.60000,-30.80000,100,1743995.34815
1,32.00000,-31.00000,100,1743974.49078
1,32.00000,-29.20000,100,1743965.22622
1,30.80000,-29.60000,100,1743960.39519
1,29.60000,-30.00000,100,1743942.29946
1,29.80000,-30.00000,100,1743908.34110
1,34.20000,-31.00000,100,1743878.39460
1,31.80000,-29.20000,100,1743875.24572
1,32.80000,-30.00000,100,1743825.68264
1,30.20000,-29.80000,100,1743822.77355
1,34.60000,-31.20000,100,1743804.59024
1,31.80000,-31.00000,100,1743775.59975
1,31.60000,-29.80000,100,1743761.95149
1,31.40000,-30.80000,100,1743728.59555
1,30.60000,-30.60000,100,1743706.18020
1,34.40000,-29.40000,100,1743688.08687
1,33.60000,-30.80000,100,1743687.51288
1,32.40000,-29.40000,100,1743637.83438
1,34.20000,-29.60000,100,1743620.05980
1,34.40000,-26.40000,100,1743609.02146
1,32.20000,-26.60000,100,1743570.51536
1,32.40000,-31.20000,100,1743553.00626
1,31.40000,-29.80000,100,1743495.19889
1,30.80000,-31.20000,100,1743482.67942
1,31.00000,-29.60000,100,1743429.18031
1,34.60000,-29.80000,100,1743417.36488
1,32.20000,-31.00000,100,1743415.09534
1,35.60000,-30.40000,100,1743408.32742
1,32.20000,-29.20000,100,1743405.83078
1,30.20000,-30.60000,100,1743383.95018
1,30.40000,-29.80000,100,1743381.04940
1,31.60000,-29.60000,100,1743350.57914
1,34.80000,-30.80000,100,1743304.02120
1,32.40000,-26.60000,100,1743272.68411
1,29.40000,-26.40000,100,1743228.65917
1,32.00000,-26.40000,100,1743152.94706
1,34.60000,-31.00000,100,1743149.58033
1,31.40000,-29.60000,100,1743083.82654
1,31.80000,-26.40000,100,1743062.96655
1,33.60000,-30.60000,100,1742987.86007
1,31.00000,-31.20000,100,1742951.46454
1,30.40000,-30.60000,100,1742942.22603
